File,compression_ratio mixture lossless,compression_ratio mixture all-iframe,compression_ratio mixture with-pframe,compression_ratio vocals lossless,compression_ratio vocals all-iframe,compression_ratio vocals with-pframe,compression_ratio drums lossless,compression_ratio drums all-iframe,compression_ratio drums with-pframe,compression_ratio repet-fg lossless,compression_ratio repet-fg all-iframe,compression_ratio repet-fg with-pframe,compression_ratio repet-bg lossless,compression_ratio repet-bg all-iframe,compression_ratio repet-bg with-pframe,compression_ratio sum with-pframe,peaq mixture lossless,peaq mixture all-iframe,peaq mixture with-pframe,peaq vocals lossless,peaq vocals all-iframe,peaq vocals with-pframe,peaq drums lossless,peaq drums all-iframe,peaq drums with-pframe,peaq repet-fg lossless,peaq repet-fg all-iframe,peaq repet-fg with-pframe,peaq repet-bg lossless,peaq repet-bg all-iframe,peaq repet-bg with-pframe,peaq sum with-pframe,desirability mixture lossless,desirability mixture all-iframe,desirability mixture with-pframe,desirability vocals lossless,desirability vocals all-iframe,desirability vocals with-pframe,desirability drums lossless,desirability drums all-iframe,desirability drums with-pframe,desirability repet-fg lossless,desirability repet-fg all-iframe,desirability repet-fg with-pframe,desirability repet-bg lossless,desirability repet-bg all-iframe,desirability repet-bg with-pframe,desirability sum with-pframe
10,0.9456863878,0.926188007,0.8997959255,0.6734265975,0.6657577325,0.6232124779,0.9211598791,0.9081413946,0.8338943067,0.9197156734,0.86879659,0.7765493338,0.9315450248,0.9104892462,0.8809771903,0.8748868901,0.1641963509,0.1607700503,0.1504276132,0.1543221088,0.1539684498,-0.540409625,0.160537451,0.1492281741,0.0710603632,0.1429978929,0.1324476998,-0.075552201,0.1607997022,0.1571945301,0.1466963951,0.1523368537,0.0434066602,0.0433956306,0.0417949251,0.0572898774,0.0578169964,-0.21678386,0.0435693778,0.0410806552,0.0213037679,0.0388701359,0.0381124021,-0.024323053,0.0431540339,0.0431621051,0.0416288857,0.0435304425
11,0.9333254882,0.9065649224,0.8792751387,0.4476066682,0.4416821775,0.3646119206,0.9149689314,0.9046123018,0.8274528751,0.9105233673,0.8431277068,0.7653358869,0.9196134703,0.8957778577,0.8629401518,0.8530339293,0.1744589428,0.1740966519,0.1743806955,0.1455915194,0.145358883,-1.371749723,0.174894501,0.1741413559,0.1720723354,0.1725476902,0.1721755477,0.1553059689,0.1690452018,0.1676411161,0.1677056406,0.1740975613,0.0467304668,0.0480099791,0.0495808103,0.0813166613,0.0822757236,-0.940554632,0.0477870054,0.0481259639,0.0519885605,0.0473759643,0.0510526301,0.0507313101,0.0459555039,0.0467864646,0.0485855364,0.0510230471
12,0.9309850513,0.9055650419,0.8799361659,0.8277444345,0.8172959766,0.7770140141,0.812909776,0.7902990951,0.7128142533,0.9220888585,0.8791457142,0.7849959638,0.9195796027,0.896993025,0.8654995886,0.8723226514,0.1622615762,0.1592791397,0.1282305019,0.1591813519,0.1550321484,0.060434735,0.1148426433,0.0487432582,-0.89679954,0.1420640718,0.132665877,-0.192845043,0.1617204436,0.1590309287,0.1250976144,0.1303655358,0.0435725514,0.043972308,0.0364317626,0.0480768415,0.0474222781,0.0194445447,0.0353183855,0.015419244,-0.31452778,0.0385169147,0.037725793,-0.061415935,0.0439658631,0.044323346,0.0361345101,0.037361616
13,0.9379028127,0.9266029317,0.9205744003,0.5902236605,0.5817732745,0.5559972684,0.9446357361,0.9407966679,0.8972151912,0.948183775,0.8966775457,0.8613698038,0.9192505438,0.9076605292,0.8977110579,0.8971943018,0.1680954164,0.1666028038,0.16064936,0.1548276959,0.1541634903,-0.359255484,0.1639540707,0.1636115837,0.1175128548,0.14322536,0.1336628713,-0.079342767,0.1660622976,0.1650884589,0.156423048,0.1591031142,0.0448061926,0.0449498912,0.0436274786,0.0655800954,0.066247238,-0.161536533,0.0433908184,0.0434768716,0.0327437765,0.0377630803,0.0372661477,-0.023028079,0.0451624148,0.0454708709,0.0435616356,0.0443335167
14,0.9404449192,0.9119119619,0.8955888808,0.8233008461,0.7871667713,0.6580635696,0.7542487638,0.7379005837,0.5983599561,0.9191810935,0.8352955013,0.7895038885,0.9199093283,0.8915313301,0.8661071327,0.850701317,0.1548730344,0.117972048,0.0995783755,0.125721375,0.1235747363,-2.208496719,0.0527393839,-0.123591561,-1.380498405,0.1359070277,0.1223357352,-0.404861571,0.150077698,0.1063676472,0.0816469654,0.1051618159,0.0411701502,0.032341951,0.0277968992,0.0381760129,0.0392466822,-0.839013441,0.0174807658,-0.041872701,-0.576784255,0.0369641599,0.036614508,-0.128201259,0.0407860029,0.029827232,0.0235672246,0.0309044473
15,0.9388510095,0.9234482094,0.9112693341,0.2442267175,0.2393959485,0.2283005235,0.9233346506,0.9105738167,0.8897387673,0.9431926665,0.8849451371,0.8451093568,0.9290369887,0.9169472702,0.8982660274,0.8916055822,0.164618031,0.1643869942,0.1613188985,0.1622641227,0.1436214175,0.0955443274,0.1620268287,0.1589207164,0.1197387981,0.1569661496,0.1522020876,0.0067439441,0.1655901053,0.1650534109,0.1576052477,0.1539946759,0.043834972,0.0445035771,0.0442566463,0.166099889,0.1499831329,0.1046256114,0.0438700174,0.0436320245,0.0336443691,0.0416050069,0.0429976055,0.0019949916,0.0445596105,0.0450007913,0.043863745,0.0431790354
16,0.9375580479,0.8911761114,0.8297627924,0.5112769431,0.4919805852,0.4527542115,0.6011098537,0.5945784616,0.5239291302,0.8954328833,0.7671792427,0.6778146383,0.9180117364,0.887050665,0.7956412065,0.7814102246,0.1646211846,0.1516679271,0.1520603511,0.1447045483,0.1241339601,0.0103633672,0.1630828303,0.1496799159,-0.219645576,0.1574011642,0.1428787322,-0.020437974,0.1484227253,0.1211100041,0.0935519941,0.1477825212,0.0438962646,0.0425471254,0.045814404,0.0707564414,0.0630786884,0.0057224024,0.0678257183,0.0629353086,-0.104806912,0.0439455506,0.0465597621,-0.007538187,0.0404196154,0.0341327753,0.0293951574,0.0472807101
17,0.9321507405,0.921272985,0.9034129398,0.1523927096,0.1485839536,0.1232026195,0.9171800293,0.8970461581,0.7944132513,0.9185385596,0.8717204718,0.8161641776,0.915057444,0.9020356119,0.8844160389,0.8780682554,0.180640028,0.1806148196,0.1786742853,0.1453707104,0.127797706,-0.612113485,0.1766870734,0.1764633103,0.1708880224,0.1797498898,0.1798170431,0.1779543104,0.1721438167,0.170857321,0.1709797182,0.1801403834,0.0484471074,0.0490122967,0.0494442456,0.2384804213,0.2150260895,-1.242086994,0.0481604123,0.049178994,0.0537780626,0.0489227937,0.0515695825,0.0545093485,0.0470308771,0.0473532638,0.0483312465,0.0512888327
18,0.9237385128,0.9080361525,0.8864150054,0.5473578189,0.5419267658,0.5135504213,0.9201675439,0.9110953938,0.8815222916,0.9138602717,0.8696501449,0.838244988,0.9117503223,0.8964843264,0.870913977,0.870282061,0.1587948316,0.1552822223,0.126738523,0.1581136561,0.1577226801,-0.475378921,0.1598236667,0.1560257163,0.0836386443,0.1322073447,0.1266199826,-0.057356271,0.1574832137,0.1540945636,0.1257793965,0.1274045824,0.0429761316,0.0427522136,0.0357446913,0.0722167705,0.0727601449,-0.231417842,0.0434224364,0.0428126729,0.0237199459,0.0361672755,0.03639969,-0.017106059,0.0431815624,0.0429719068,0.0361055741,0.0365986466
19,0.8778065719,0.8301228335,0.7891376104,0.6608343041,0.6466055538,0.5488985089,0.8560127554,0.8485102749,0.7306303021,0.8418097378,0.7438158644,0.7160238315,0.8582257734,0.8186968412,0.7635593308,0.7536875976,0.155682432,0.1409313463,0.1191651286,0.1610344037,0.1597330666,-0.567826027,0.1612648775,0.1597707826,0.0776130811,0.1325865323,0.1050362061,-0.120506508,0.148348864,0.1441282764,0.0996145588,0.1185540394,0.0443384787,0.0424429195,0.0377516947,0.0609208703,0.0617583107,-0.258620682,0.0470976853,0.0470739092,0.0265568923,0.0393754451,0.0353031614,-0.042074894,0.0432138222,0.0440114915,0.0326151992,0.0393246618
