File,compression_ratio mixture lossless,compression_ratio mixture all-iframe,compression_ratio mixture with-pframe,compression_ratio vocals lossless,compression_ratio vocals all-iframe,compression_ratio vocals with-pframe,compression_ratio drums lossless,compression_ratio drums all-iframe,compression_ratio drums with-pframe,compression_ratio repet-fg lossless,compression_ratio repet-fg all-iframe,compression_ratio repet-fg with-pframe,compression_ratio repet-bg lossless,compression_ratio repet-bg all-iframe,compression_ratio repet-bg with-pframe,compression_ratio sum with-pframe,peaq mixture lossless,peaq mixture all-iframe,peaq mixture with-pframe,peaq vocals lossless,peaq vocals all-iframe,peaq vocals with-pframe,peaq drums lossless,peaq drums all-iframe,peaq drums with-pframe,peaq repet-fg lossless,peaq repet-fg all-iframe,peaq repet-fg with-pframe,peaq repet-bg lossless,peaq repet-bg all-iframe,peaq repet-bg with-pframe,peaq sum with-pframe,desirability mixture lossless,desirability mixture all-iframe,desirability mixture with-pframe,desirability vocals lossless,desirability vocals all-iframe,desirability vocals with-pframe,desirability drums lossless,desirability drums all-iframe,desirability drums with-pframe,desirability repet-fg lossless,desirability repet-fg all-iframe,desirability repet-fg with-pframe,desirability repet-bg lossless,desirability repet-bg all-iframe,desirability repet-bg with-pframe,desirability sum with-pframe
30,0.9372153092,0.9019220599,0.8826134023,0.8734713046,0.8611429355,0.7898390552,0.8474082949,0.8322016513,0.7105479194,0.9288726535,0.8340615454,0.7813746837,0.9207751788,0.8922609413,0.8591128393,0.8465871923,0.1686261702,0.1659145782,0.1628767363,0.1641147059,0.1634136438,-0.079784368,0.1229898396,0.0819561221,-0.607842342,0.1625201254,0.1601673469,0.1272628364,0.1618133224,0.1571747656,0.1463776601,0.1611697367,0.044980638,0.0459891673,0.0461347901,0.0469719798,0.0474409175,-0.025253362,0.0362841149,0.0246202714,-0.213863951,0.0437412289,0.0480082518,0.0407176093,0.0439339934,0.0440383408,0.0425955862,0.0475939567
31,0.94989751,0.9279373674,0.8816802493,0.9223388313,0.9040555099,0.6603374207,0.9315375747,0.9150677375,0.7703031236,0.9043332624,0.8210078422,0.7613663782,0.9416582751,0.9215021208,0.8707216514,0.8458647468,0.1731697466,0.1700725548,0.1646808496,0.154799473,0.1476958057,-1.049540639,0.1614602627,0.1299130806,0.1133913809,0.1603237106,0.1496524513,-0.030075422,0.1701418498,0.1670509481,0.1647576806,0.1674375651,0.0455759029,0.0458200523,0.0466951737,0.0419584072,0.0408425711,-0.39735013,0.0433316559,0.0354927497,0.0368008961,0.0443209703,0.0455697387,-0.009875476,0.0451708051,0.0453202831,0.0473049224,0.0494870976
32,0.946132727,0.9218612414,0.8963214664,0.6164385834,0.6034057566,0.5477528657,0.9169145833,0.9063571458,0.8640335516,0.9284727868,0.8576570806,0.7997471868,0.9317529094,0.9088304749,0.8758403241,0.8667487024,0.1602317768,0.1485930095,0.1230341472,0.1340633247,0.1303109938,-0.136448105,0.1614304305,0.1591530946,-0.448773912,0.1329686954,0.1143588238,-0.434694623,0.1576916085,0.1498702104,0.1167150632,0.1212145373,0.0423386096,0.0402970108,0.0343164121,0.0543701061,0.0539897873,-0.062276308,0.0440145771,0.0438991118,-0.12984852,0.0358030675,0.0333346586,-0.135885012,0.0423104685,0.0412261182,0.033315166,0.0349624225
33,0.9287449263,0.9082086016,0.8986751376,0.805714173,0.7917367221,0.704225943,0.8801003645,0.8318917537,0.8082325197,0.9248557964,0.8486217154,0.8234882966,0.9103934868,0.8896989248,0.8753997548,0.8620107351,0.1601954362,0.1416373979,0.1133633755,0.1486563026,0.1459975824,-1.03764025,0.1367897553,-0.044804008,-0.060084382,0.1387596109,0.1180576729,-0.315174099,0.1565820228,0.1407318644,0.1072310111,0.1114412456,0.0431214835,0.0389881239,0.0315362501,0.0461256323,0.0461004202,-0.36836198,0.0388562943,-0.013464495,-0.018585116,0.0375084449,0.0347792399,-0.095682629,0.0429984466,0.0395448001,0.030623441,0.0323201443
34,0.9500987038,0.9343282029,0.8633786521,0.9489760467,0.9361111864,0.8100183756,0.8924460503,0.8835065912,0.7384211527,0.8832688431,0.8107467031,0.7608425949,0.9364405826,0.9227274982,0.8445789071,0.8276628051,0.1732301837,0.1725819137,0.1727854293,0.1710435616,0.170367726,0.1501449407,0.1726893755,0.1725854684,0.1691003802,0.1713322889,0.1703079271,0.1676827286,0.1680145655,0.1670050836,0.1640277888,0.1720744622,0.0455821545,0.0461780756,0.0500317644,0.0450600313,0.0454987956,0.0463399798,0.0483752983,0.0488353653,0.0572506555,0.0484938109,0.0525157631,0.0550977067,0.0448545718,0.0452476717,0.0485531273,0.0519760164
35,0.9117787067,0.888482626,0.8573019808,0.6108283125,0.6013738544,0.5019243447,0.893359572,0.8869227717,0.7779013386,0.8869399251,0.8016335271,0.7527327687,0.8924400856,0.8726151611,0.833719193,0.8176763601,0.1728244857,0.1724100219,0.1709547947,0.1354559484,0.1349856411,-1.225695612,0.1701925873,0.1697763547,0.1576528809,0.1716619026,0.170650398,0.1599035361,0.1649686154,0.1641752302,0.160196539,0.1713848264,0.0473866313,0.0485124911,0.0498525603,0.0554394523,0.0561155262,-0.610498188,0.0476271237,0.0478554504,0.0506660913,0.0483860005,0.0532195798,0.0531076707,0.0462127985,0.047035405,0.0480367192,0.0523999576
36,0.927289996,0.9045375407,0.884167104,0.9081960533,0.8781203933,0.7344778761,0.8948553343,0.8865684675,0.8501877171,0.9076430223,0.8173338265,0.7518965156,0.906564903,0.8828630256,0.8562060374,0.836769932,0.1617383911,0.1504828707,0.1524419268,0.1484063476,0.1439925985,-1.006316624,0.1604269845,0.1581892955,0.1443812411,0.1510327893,0.1438589665,0.0725105331,0.1544045674,0.1316468606,0.1377771342,0.1528808226,0.0436051267,0.041591107,0.0431032568,0.0408519579,0.0409945492,-0.342527888,0.0448192513,0.0446071853,0.0424556949,0.0416002728,0.0440025121,0.024109213,0.0425795679,0.0372783934,0.040228966,0.0456758832
37,0.9404291129,0.9116905155,0.8734148292,0.7908873538,0.7720855696,0.6559420483,0.8902857164,0.8789358745,0.7704099749,0.8814139089,0.8208465952,0.7371911964,0.9035377204,0.8744974604,0.856031308,0.8384389516,0.1663433234,0.1649272745,0.1638280073,0.160667866,0.1562803293,0.0335333648,0.1682295407,0.1675660314,0.1495436174,0.1615158745,0.1584101399,0.1203427676,0.1621429245,0.159567064,0.1560750804,0.163337869,0.044220059,0.0452256746,0.0468929545,0.0507872155,0.050603306,0.0127806126,0.0472403234,0.0476616202,0.0485272849,0.0458115855,0.0482459636,0.0408112468,0.0448633524,0.0456167889,0.0455810082,0.0487029702
38,0.9222009471,0.9079095695,0.8929391351,0.9277504311,0.9190119427,0.8196365711,0.9230816241,0.9166384697,0.8663117374,0.9184630877,0.8623973484,0.8276713601,0.910620958,0.8969893713,0.8796310368,0.8710141926,0.1682746864,0.1668786534,0.1677011978,0.1586477465,0.1579614896,0.0711681431,0.1696099596,0.1687828773,0.1644891103,0.1555668407,0.1492856495,0.0577131064,0.166647227,0.1661155218,0.164785808,0.1662144937,0.0456176842,0.0459513422,0.0469520237,0.0427506529,0.0429704671,0.0217072254,0.0459357968,0.0460331098,0.0474682216,0.0423443366,0.0432763533,0.0174323739,0.0457509861,0.0462980742,0.0468337863,0.0477071715
39,0.9166366222,0.8967545683,0.8794148034,0.7142105748,0.7016126436,0.6059469792,0.8708120551,0.8599050583,0.8312493922,0.9058323809,0.8410456465,0.7886901303,0.9016997105,0.8836110077,0.8603899492,0.8507177979,0.159825582,0.1551631222,0.1015468898,0.1648461138,0.163237964,0.0958649093,0.1726655602,0.1720916673,0.169004354,0.1246490514,0.1137817091,-0.093938405,0.1601078175,0.1572701766,0.0950841085,0.0968586674,0.0435902238,0.043256853,0.0288677452,0.0577022098,0.0581652731,0.0395516904,0.0495702716,0.0500321709,0.0508284143,0.0344017983,0.0338215023,-0.029776715,0.0443905592,0.04449644,0.0276282018,0.0284638066
40,0.9478204412,0.925042864,0.8820389549,0.7072764543,0.7000336313,0.6650020433,0.9405538447,0.9307167383,0.8272978012,0.9070989933,0.8336634639,0.7826835448,0.9301000619,0.9088836455,0.860863015,0.8472632395,0.1664020322,0.1655101857,0.156558464,0.1657332667,0.1640437865,0.1011579447,0.1675659801,0.1672836241,0.1331689097,0.1574044953,0.1512779207,-0.039157289,0.1617669297,0.1608868689,0.1493032783,0.1552111183,0.0438907057,0.0447304098,0.044374022,0.0585815015,0.0585842519,0.0380291857,0.0445391779,0.0449340861,0.0402421321,0.0433812893,0.0453654044,-0.012507382,0.0434810555,0.0442539784,0.0433586052,0.0457977849
41,0.9378359745,0.916604064,0.8879261488,0.80296441,0.7826126153,0.6548209291,0.9327539017,0.9187123253,0.8532768865,0.902775013,0.8281127034,0.7287412755,0.9196095446,0.8998439052,0.8614750061,0.8447938547,0.1687758436,0.1675636659,0.1681603422,0.1493195726,0.1418170029,-0.07956171,0.1672242549,0.166722744,0.1444991057,0.1700726319,0.1689465023,0.1668175187,0.1566540644,0.1540217378,0.1339197007,0.1642890752,0.0449907681,0.0457023028,0.0473463763,0.0464900968,0.0453024268,-0.030375369,0.0448200363,0.0453685935,0.0423365229,0.0470971808,0.051003475,0.0572279642,0.0425871135,0.0427912377,0.0388634899,0.0486180961
42,0.9363231009,0.9214176511,0.9104758415,0.8777597361,0.8612071811,0.8299953628,0.9107094675,0.8914351837,0.7623149089,0.9359793144,0.8735232065,0.8168558315,0.9229473384,0.9096790383,0.8909363908,0.8822297987,0.1645414598,0.1615459822,0.1516737582,0.1613718745,0.1585575924,0.1155665679,0.0999569872,0.080182445,-0.676876574,0.1416448742,0.1269308558,-0.249085792,0.1622132799,0.159043383,0.143991222,0.1496694363,0.0439328742,0.0438308247,0.0416468377,0.0459612887,0.0460277143,0.0348094017,0.0274393181,0.0224868971,-0.22198063,0.0378333346,0.0363272707,-0.076233095,0.0439389316,0.0437086533,0.0404044619,0.0424122594
43,0.9231105395,0.9094064158,0.8957639073,0.8148624906,0.8031730988,0.7064318206,0.9159272835,0.9091961308,0.8924273975,0.9252636882,0.8866267609,0.8511523311,0.9121681723,0.9002737188,0.8818585909,0.8842426759,0.1691248047,0.1679922437,0.169104369,0.1535442534,0.1507252043,-0.934664305,0.1713745935,0.1709942166,0.1655923152,0.1628343225,0.1598016355,0.1511677916,0.166547082,0.1660249493,0.1641287162,0.1670590991,0.0458029666,0.0461818393,0.0471955745,0.0471074124,0.0469155418,-0.330769466,0.0467762552,0.0470179675,0.0463881756,0.0439967343,0.0450588801,0.0444009216,0.0456459365,0.0461040198,0.0465292049,0.0472322541
44,0.9439326314,0.9284160604,0.8905245009,0.5648690794,0.5577153616,0.438126797,0.787816967,0.7582935814,0.6191853148,0.9171896328,0.8921310536,0.7687376574,0.9237512151,0.905513399,0.8675761017,0.8798535777,0.150374561,0.1420889741,-0.145800308,0.148096974,0.1434305277,-1.748591575,0.1312359291,0.0785943354,-0.223602438,0.1405933329,0.1341899756,-0.142818545,0.1480872428,0.1390133062,-0.15826474,-0.154357236,0.0398266137,0.0382611256,-0.040931021,0.0655448224,0.0642937857,-0.997765708,0.0416454375,0.0259115787,-0.090280903,0.0383217734,0.0376037733,-0.046445801,0.0400776855,0.0383796933,-0.045605435,-0.043858785
45,0.9471157706,0.9268364317,0.889944265,0.7579025775,0.7389444388,0.6644577967,0.9422360107,0.9269782852,0.8632758092,0.9198453743,0.8453992364,0.7861719257,0.9302334213,0.9105248865,0.8675142844,0.8564567604,0.1643463022,0.161012597,0.1509266781,0.1389184087,0.1332653616,-0.4511696,0.1546428424,0.1504967529,0.0230499826,0.1470822143,0.1362235206,-0.072607833,0.1607536928,0.1564002631,0.141442794,0.1481969285,0.0433807321,0.0434306938,0.0423977894,0.0458233066,0.0450863944,-0.169751037,0.0410308141,0.0405879931,0.0066751502,0.0399747116,0.0402837839,-0.023089044,0.0432025149,0.0429423362,0.0407609409,0.0432587304
46,0.9005353229,0.8838967012,0.8650137119,0.8234986018,0.8029092875,0.7601751671,0.895296665,0.888530001,0.8414944333,0.8888949325,0.8417746899,0.7931856556,0.8872549587,0.8721254408,0.8466235345,0.8441991122,0.1707048845,0.1699221294,0.1694647222,0.1629779587,0.1594667513,0.1454012716,0.1529788371,0.1514764954,-0.47495458,0.1688180276,0.166463785,0.1553565157,0.1644053436,0.1621757091,0.157531961,0.1681209729,0.0473898358,0.0480605169,0.048977467,0.0494773028,0.049652792,0.0478183443,0.0427173593,0.0426199721,-0.141104493,0.0474797475,0.0494383435,0.0489660001,0.0463241546,0.0464886419,0.0465177126,0.0497871209
47,0.9485877353,0.9154009343,0.8582317568,0.7078972435,0.6989073403,0.5704632919,0.7666581791,0.7555810477,0.672012238,0.8967930662,0.780855565,0.7148820463,0.929087612,0.9019452034,0.8295974627,0.8052265138,0.1516798072,0.1428948195,0.1016237594,0.1626179986,0.1580044007,0.0261181692,0.1517206915,0.1482088157,-0.062057588,0.1296546591,0.1185910949,-0.349813872,0.1475769041,0.1407339802,0.0832534355,0.1015402992,0.0399751656,0.0390252004,0.0296026565,0.0574299448,0.056518365,0.0114460341,0.0494746863,0.0490380271,-0.02308648,0.0361439735,0.0379683197,-0.122332724,0.0397101689,0.0390084618,0.0250885035,0.0315253837
48,0.951101698,0.8867895616,0.8075334175,0.8042020797,0.7986903165,0.3269043315,0.9446464128,0.9158227238,0.7678177179,0.8924078467,0.8046603023,0.6940965457,0.9500576051,0.8919073724,0.8028315776,0.80374594,0.1446807347,-0.068349456,-0.312751138,0.1200384897,0.1144090491,-1.918139048,0.1475608955,-0.158667111,-0.27385852,0.1532955266,0.147437267,-0.27964615,0.1451566267,-0.081462728,-0.356481941,-0.365703137,0.0380297751,-0.019268792,-0.096822971,0.0373160219,0.0358114549,-1.466896324,0.0390518858,-0.043312725,-0.089167817,0.0429443575,0.0458073011,-0.100723074,0.0381967961,-0.022833853,-0.111007698,-0.113749606
49,0.96144051,0.9344850141,0.9027129264,0.7809936853,0.7786958233,0.1764008319,0.957962921,0.931552697,0.8657167908,0.9426337149,0.9020914307,0.7720583604,0.9534393796,0.9258852412,0.8891246052,0.8956080179,0.16509307,0.1132126693,0.1415445992,0.1402047475,0.1396793076,-0.230970058,0.1630836293,0.0808442552,0.1318468227,0.1617439391,0.1555997156,0.0415453368,0.1609225454,0.0501398722,0.1316091152,0.1423931177,0.0429285713,0.0302874491,0.0391997819,0.0448802436,0.044843989,-0.327336974,0.0425600057,0.0216961036,0.0380744673,0.0428968157,0.0431219359,0.0134527838,0.0421952745,0.0135383604,0.0370052506,0.0397476114
