File,input-type,frame_type,compression_ratio,peaq,desirability,,,,,,,
0,mixture,lossless,0.94793904815769492,0.15945927430939788,0.042054200272502895,,,,,,,
0,mixture,all-iframe,0.92582048512953741,0.15404811934325169,0.041597729208189271,,,,,,,
0,mixture,with-pframe,0.8934601303345584,0.12924931480674173,0.036165383999380026,,,,,,,
0,vocals,lossless,0.87923367492501081,0.15402716459187582,0.043795855693599513,,,,,,,
0,vocals,all-iframe,0.86415321348153928,0.14744628643341118,0.042656291770117059,,,,,,,
0,vocals,with-pframe,0.82217631271017999,0.04155111334608419,0.012634489921364076,,,,,,,
0,drums,lossless,0.55831228245230979,0.056650879100572649,0.025367021683519779,,,,,,,
0,drums,all-iframe,0.53208167151349584,-0.021425461246078914,-0.010066810413303005,,,,,,,
0,drums,with-pframe,0.51291831077187777,-0.53269128251120268,-0.25963748579650486,,,,,,,
0,repet-fg,lossless,0.94026958118436132,0.142220585517149,0.037813779250948511,,,,,,,
0,repet-fg,all-iframe,0.8944995762983452,0.12494633183811965,0.034920735333150654,,,,,,,
0,repet-fg,with-pframe,0.79345285123353382,-0.11288882059399352,-0.035568849623040612,,,,,,,
0,repet-bg,lossless,0.93524289490491919,0.15577242680456704,0.041639564345581991,,,,,,,
0,repet-bg,all-iframe,0.91430299869974641,0.15097851594053546,0.041282407515682948,,,,,,,
0,repet-bg,with-pframe,0.87269826612457768,0.11494827585206524,0.032928985972013027,,,,,,,
0,sum,with-pframe,0.88359892121146144,0.12699997909237526,0.035932586619235422,,,,,,,
1,mixture,lossless,0.93977977396006918,0.12638498107624718,0.033620903688872439,,,,,,,
1,mixture,all-iframe,0.91318899890620697,0.1120986658893286,0.030688791154842354,,,,,,,
1,mixture,with-pframe,0.82092059652594096,-0.63843085068602878,-0.19442527492543382,,,,,,,
1,vocals,lossless,0.9038510846415585,0.12707880826044393,0.035149265852471634,,,,,,,
1,vocals,all-iframe,0.88808898044371387,0.11601042737483747,0.032657320924327715,,,,,,,
1,vocals,with-pframe,0.68236616586655885,-1.4161164851617558,-0.51882572583423148,,,,,,,
1,drums,lossless,0.75376896044201525,0.094938637606490683,0.031487976617801436,,,,,,,
1,drums,all-iframe,0.74050168535047034,0.069852356198363719,0.023582780964672437,,,,,,,
